bank_name,city,author,rating,review_text,extraction_date
Attijariwafa bank,Rabat,Anonymous,Unknown,"Extremely poor service, below standard",2026-03-30
Attijariwafa bank,Rabat,Anonymous,Unknown,"Unfortunately, the employee's behavior is very bad, and there is no understanding between the employees. Each employee wants to impose his words on the other.",2026-03-30
Attijariwafa bank,Rabat,Anonymous,Unknown,"Recently, there's only one maid and so many clients, it takes an hour to get your turn. If you're in a hurry, look for another bank.",2026-03-30
Attijariwafa bank,Casablanca,Anonymous,Unknown,Atijariwafa bank is definitely the best bank when it comes to small businesses.They have consistently churned out policies aimed at ensuring financial inclusion for all spectrums of Moroccan businesses. It is also noted for making …,2026-03-30
Attijariwafa bank,Casablanca,Anonymous,Unknown,This a review for the Bank on moulay youssef next to Pizza hut. They have major problems with treating their customers with respect. I don't know what is wrong with them but this problem has been going on for years at this bank. They are …,2026-03-30
Attijariwafa bank,Casablanca,Anonymous,Unknown,"It’s about a month now i have an issue with login on the app also the same issue appear on website, when i try to login and i’m sure about my identification and password i always get error of authentication on mobile app and on website i …",2026-03-30
Attijariwafa bank,Marrakech,Anonymous,Unknown,"Horrible customer service and employees with no knowledge, the employee at the desk should at least have a bit of knowledge before being appointed as an advisor",2026-03-30
Attijariwafa bank,Marrakech,Anonymous,Unknown,Wasted too much time wating. They have three reception front desks but only one is operational!!!!,2026-03-30
Attijariwafa bank,Marrakech,Anonymous,Unknown,"Unfortunately, lazy employees.",2026-03-30
Attijariwafa bank,Fès,Anonymous,Unknown,"A self-service area with a door that's always locked, and if it's not locked, you can't deposit cash at the counter. I don't understand why. I had to wait too long without any trouble. I don't recommend it.",2026-03-30
Attijariwafa bank,Fès,Anonymous,Unknown,"On August 19, 2025, at 11:05 AM, I entered the branch to make a withdrawal. After waiting 20 minutes without any staff to serve me, the branch manager finally came in, a glass of coffee in hand. He insolently told me I should have just …",2026-03-30
Attijariwafa bank,Fès,Anonymous,Unknown,"The treatment I received from the manager of this branch near the sidewalk entrance, specifically on this date, February 10, 2025, was, unfortunately, appalling and beyond disgusting. His behavior was incredibly racist and offensive. Their …",2026-03-30
Attijariwafa bank,Tanger,Anonymous,Unknown,The bank branch that does not care about dozens of customers waiting does not deserve even 1 point.  Even the numerator is not available.,2026-03-30
Attijariwafa bank,Tanger,Anonymous,Unknown,"I was well served and satisfied
The staff is great, helping and welcoming",2026-03-30
Attijariwafa bank,Tanger,Anonymous,Unknown,Service nuuuul,2026-03-30
Banque Populaire,Rabat,Anonymous,Unknown,"The worst customer service ever, the employees are incompetent. I strongly discourage using their services especially for moroccans living abroad, you may end up locked out and never be able to access your funds.  Its a complete joke ...",2026-03-30
Banque Populaire,Rabat,Anonymous,Unknown,"A catastrophic agency that is really useless, they don't even answer your phone to ask for information, the Banque Populaire really needs to react regarding this agency because it has a serious problem with communication and management of customer services.",2026-03-30
Banque Populaire,Rabat,Anonymous,Unknown,"I came to this branch to open a bank account. As kind as a prison guard, they told me to wait. Once in front of the advisor, they gave me an appointment before telling me that since I'm not Moroccan, I can go elsewhere. In short, a real waste of time.",2026-03-30
Banque Populaire,Casablanca,Anonymous,Unknown,They took my card and money from ATM and didnt even respond to my numerous emails. Be careful when withdrawing money from their ATMs. They dont even respond on Messenger  where on the main site it says they are,2026-03-30
Banque Populaire,Casablanca,Anonymous,Unknown,My bank . Cool just that quality of service varies from bank to bank,2026-03-30
Banque Populaire,Casablanca,Anonymous,Unknown,"Never expect them to answer phone calls, tried to reach out to them to enquire about a transaction blocked in their BCP In Casablanca but never bother to answer phone calls. Worst service and I'm considering to stop my business with them",2026-03-30
Banque Populaire,Marrakech,Anonymous,Unknown,"Worst banking branch, got misleaded 3 years ago when i wanted to opt for a 1 year term deposit, and got me to sign a 3 years retirement plan instead, very deceiving and unprofessional.",2026-03-30
Banque Populaire,Marrakech,Anonymous,Unknown,CAFÉ EMARAT,2026-03-30
Banque Populaire,Marrakech,Anonymous,Unknown,"The customer service and the bank itself are terrible. They close at 2 PM under the pretext of observing Ramadan. I have nothing against Ramadan (I observe it too!), quite the contrary, I really enjoy it! But they can't afford to close …",2026-03-30
Banque Populaire,Fès,Anonymous,Unknown,"Very poor service, the agents are really very incompetent and rude, not to be recommended 👎🏻👎🏻👎🏻 …",2026-03-30
Banque Populaire,Fès,Anonymous,Unknown,Good treatment,2026-03-30
Banque Populaire,Fès,Anonymous,Unknown,Employee absences under the pretext of food...one of the worst branches in the People's Bank,2026-03-30
Banque Populaire,Tanger,Anonymous,Unknown,Cafe florida,2026-03-30
Banque Populaire,Tanger,Anonymous,Unknown,"This is really nonsense, I am far from the agency, I want to know some information before going there but unfortunately no one answers despite dozens of attempts. I regret it because I am with them.",2026-03-30
Banque Populaire,Tanger,Anonymous,Unknown,The agents of this agency refuse to receive customers.. the ATM of this agency took my ATM card and I wanted to get it back but they refused to receive me and I remained without card and without money for 24 hours... it is really shameful...!!!,2026-03-30
BMCE Bank,Rabat,Anonymous,Unknown,Terrible service i would not recommend this agency if you are short on time,2026-03-30
BMCE Bank,Rabat,Anonymous,Unknown,"good luck catching a response from them in case of a problem, they don't respond to phone calls, nor to emails, nor do they care about the client satisfaction, do not open an account here, the moment you'll have an issue like I had you will regret having a bmce account",2026-03-30
BMCE Bank,Rabat,Anonymous,Unknown,"This bank needs to rethink it locations startegy. I thought it's just in small cities, but even if big cities, you will need ages to find a branch.",2026-03-30
BMCE Bank,Casablanca,Anonymous,Unknown,"BMCE Service in Fquih Ben Salah & Khouribga: Absolutely Unacceptable! 😡👎 (10/10 BAD!)
My experience with BMCE bank services, specifically in Fquih Ben Salah and …",2026-03-30
BMCE Bank,Casablanca,Anonymous,Unknown,I am extremely disappointed with the service provided by Bank of Africa. The level of disrespect shown towards clients when complaints are made is unacceptable. The responses given are often dismissive and offer no real solutions to the …,2026-03-30
BMCE Bank,Casablanca,Anonymous,Unknown,"The worst bank ever, I have begging them like a dog to send me my credit card. They don't answers mails nor phone calls. I wanted to transfer my agency it has been 8 months and nothing happened. The worst among them all",2026-03-30
BMCE Bank,Marrakech,Anonymous,Unknown,"today 1/08/2025 Very bad experience at BMCE   Carre Eden marrakech The staff member was rude and unhelpful She told me I needed an appointment to open an account, like it’s a hospital She also said I needed a passport even though I had my …",2026-03-30
